Player,,Loan: start/end,Age,Nationality,Position,Market value,From Team,From League,From Region,From Country,From Level,To Team,To League,To Region,To Country,To Level,End of Loan Date,Fee,Transfer ID
Asier Illarramendi,Out,No,33,Spain,Defensive Midfield,"2,000,000",Real Sociedad,"LaLiga, Spain",Top,Spain,First Tier,Dallas,"Major League Soccer, US",US & Australia,US,First Tier,,0,317
Asier Villalibre,Inside,End,25,Spain,Centre-Forward,"2,500,000",Alavés,"LaLiga, Spain",Top,Spain,First Tier,Athletic,"LaLiga, Spain",Top,Spain,First Tier,"Jun 30, 2023",0,318
Asmir Begovic,Out,No,36,Bosnia-Herzegovina,Goalkeeper,"800,000",Everton,"Premier League, England",Top,England,First Tier,QPR,"Championship, England",Europe,England,Second Tier,,0,319
Assan Ceesay,Out,No,29,The Gambia,Centre-Forward,"2,500,000",Lecce,"Serie A, Italy",Top,Italy,First Tier,Damac FC,Saudi Pro League,Asia,Saudi Arabia,First Tier,,2800000,320
Assane Diao,In,No,18,Spain,Left Winger,"200,000",Betis Deportivo,"Segunda Federación - Grupo IV, Spain",Europe,Spain,Fourth Tier,Real Betis,"LaLiga, Spain",Top,Spain,First Tier,,0,321
Aster Vranckx,Inside,End,20,Belgium,Central Midfield,"8,500,000",AC Milan,"Serie A, Italy",Top,Italy,First Tier,VfL Wolfsburg,"Bundesliga, German",Top,Germany,First Tier,"Jun 30, 2023",0,322
Attila Szalai,In,No,25,Hungary,Centre-Back,"14,000,000",Fenerbahce,"Süper Lig, Turkey",Asia,Turkey,First Tier,TSG Hoffenheim,"Bundesliga, German",Top,Germany,First Tier,,12300000,323
Augusto Solari,Out,No,31,Argentina,Right Winger,"1,500,000",Celta de Vigo,"LaLiga, Spain",Top,Spain,First Tier,Atlas,"Liga MX Apertura, Mexico",Latin America,Mexico,First Tier,,0,324
Auston Trusty,Inside,No,24,United States,Centre-Back,"8,000,000",Arsenal,"Premier League, England",Top,England,First Tier,Sheff Utd,"Premier League, England",Top,England,First Tier,,5800000,325
Awer Mabil,In,End,27,Australia,Left Winger,"1,200,000",Sparta Prague,"Fortuna Liga, Czech",Europe,Czech,First Tier,Cádiz CF,"LaLiga, Spain",Top,Spain,First Tier,"Jun 30, 2023",0,326
Awer Mabil,Out,No,27,Australia,Left Winger,"1,200,000",Cádiz CF,"LaLiga, Spain",Top,Spain,First Tier,Grasshoppers,"Super League, Swiss",Europe,Switzerland,First Tier,,0,327
Axel Camblan,In,End,19,France,Left Midfield,"400,000",Concarneau,"Ligue 2, France",Europe,France,Second Tier,Stade Brestois,"Ligue 1, France",Top,France,First Tier,"Jun 30, 2023",0,328
Axel Disasi,Inside,No,25,France,Centre-Back,"40,000,000",Monaco,"Ligue 1, France",Top,France,First Tier,Chelsea,"Premier League, England",Top,England,First Tier,,45000000,329
Axel Tuanzebe,Out,No,25,England,Centre-Back,"4,500,000",Man Utd,"Premier League, England",Top,England,First Tier,Without Club,No league,-,-,No tier,,0,330
Ayman Aourir,In,No,18,Morocco,Attacking Midfield,0,Leverkusen U19,"A-Junioren Bundesliga West, German",Europe,Germany,Youth League,B. Leverkusen,"Bundesliga, German",Top,Germany,First Tier,,0,331
